1,비도 오고 그래서 (Feat. 신용재)
2,빨간 맛 (Red Flavor)
3,Artist
4,널 너무 모르고
5,마지막처럼
6,나로 말할 것 같으면 (Yes I am)
7,남이 될 수 있을까
8,FIVE
9,매일 듣는 노래 (A Daily Song)
10,무제(無題) (Untitled, 2014)
11,처음부터 너와 나
12,Shape of You
13,FANXY CHILD (Feat. FANXY CHILD)
14,New Face
15,오늘 취하면 (Feat. 창모) (Prod. SUGA)
16,SIGNAL
17,ANTI (Feat. G.Soul)
18,Why Don`t You Know (Feat. 넉살)
19,팔레트 (Feat. G-DRAGON)
20,밤편지
21,REALLY REALLY
22,좋니
23,미치고 싶다
24,NEVER
25,I LUV IT
26,아침에 (Feat. Bryn)
27,첫눈처럼 너에게 가겠다
28,LONELY
29,BLUE MOON (Prod. GroovyRoom)
30,Marry Me
31,맞지?
32,사랑이 잘 (With 오혁)
33,사랑앓이 (With 김나영)
34,작두 (Feat. 넉살, Huckleberry P)
35,For Life
36,좋다고 말해
37,아름다워
38,봄날
39,KNOCK KNOCK
40,먹구름 (Feat. nafla)
41,아재개그 (Narr. 김대희, 김준호)
42,돌아오지마 (Feat. 용준형 Of 비스트)
43,TOMBOY
44,천재 (Behind the scene)
45,불장난
46,Outside (Feat. Beenzino)
47,잠 못 드는 밤에
48,나만 안되는 연애
49,Closer (Feat. Halsey)
50,여보세요